Epoch,Train_Loss,Train_Reconstruction_Loss,Train_KL_Divergence_c,Train_KL_Divergence_z,Val_Loss,Val_Reconstruction_Loss,Val_KL_Divergence_c,Val_KL_Divergence_z
1,113.86963882,103.51586552,0.03276519,10.32100806,31.74531860,22.71100502,0.01209555,9.02221794
2,36.31795082,28.64529438,0.00923569,7.66342075,17.25723381,10.55034676,0.00779591,6.69909153
3,25.48880320,19.52149010,0.01019921,5.95711377,13.95825462,8.06175613,0.01359873,5.88289976
4,20.90141621,16.04466987,0.01843727,4.83830891,12.98885269,9.12673550,0.01926270,3.84285460
5,18.62143536,14.46193109,0.02925210,4.13025227,10.27359829,6.57421207,0.04014587,3.65924063
6,16.50056129,12.93927474,0.04146671,3.51981980,8.94303436,5.48719406,0.04929981,3.40654025
7,14.74595542,11.82357774,0.05510149,2.86727614,8.73984451,6.14626417,0.06365061,2.52992988
8,13.55920925,11.15863733,0.06804755,2.33252435,7.50076504,5.02578545,0.08187170,2.39310789
9,12.39461150,10.40687385,0.08700390,1.90073382,6.47954979,4.65712938,0.09477787,1.72764268
10,11.55112190,9.87137232,0.09846630,1.58128331,6.13061647,4.80005808,0.10442295,1.22613542
11,10.73345904,9.47895751,0.10250466,1.15199685,5.25549316,4.09132414,0.10166330,1.06250570
12,9.97715693,8.95106263,0.10407438,0.92201993,4.97875834,4.03147326,0.10643501,0.84085007
13,9.57599506,8.68464713,0.10746171,0.78388617,4.80079947,3.92477164,0.10937500,0.76665277
14,9.13608994,8.39999430,0.10566638,0.63042919,4.68588715,3.95275002,0.11079826,0.62233888
15,9.13868718,8.51632318,0.10720129,0.51516269,4.16777611,3.62396007,0.10154810,0.44226788
16,8.53630631,7.95178604,0.10416245,0.48035775,4.26976194,3.74776440,0.10553160,0.41646602
17,8.02587707,7.53995662,0.10480976,0.38111066,3.49152141,3.04042044,0.10277081,0.34833014
18,7.65016587,7.20564828,0.10653493,0.33798266,3.72314010,3.40570064,0.10419197,0.21324750
19,7.68301361,7.32571647,0.10885427,0.24844277,3.12671828,2.78785648,0.11135817,0.22750366
20,7.15996296,6.76524625,0.12667954,0.26803717,4.17114396,3.82495790,0.13722048,0.20896555
21,7.26083999,6.90586014,0.14537259,0.20960730,3.25828233,2.89807262,0.13781261,0.22239710
22,6.60490353,6.18624697,0.17739639,0.24126017,2.92106156,2.44190040,0.18887482,0.29028633
23,6.54556487,6.11098454,0.21219125,0.22238907,2.86199508,2.47724929,0.20466208,0.18008363
24,6.36185958,5.95642552,0.22853343,0.17690063,2.62378016,2.22810812,0.23349152,0.16218051
25,6.10947633,5.70713995,0.24807904,0.15425732,2.53818669,2.15080919,0.24990940,0.13746811
26,6.40879705,5.98254044,0.27545810,0.15079849,3.02652149,2.59357324,0.25258088,0.18036740
